,full_name,coin,values
0,bitcoin,btc,36708
1,ethereum,eth,15315
2,xrp,xrp,6646
3,litecoin,ltc,30004
4,bitcoin cash,bch,11107
5,bitcoin sv,bsv,6406
6,monero,xmr,13469
7,dash,dash,22538
8,zcash,zec,11990
9,ethereum classic,etc,14422
10,dogecoin,doge,22697
11,bitcoin gold,btg,11227
12,reddcoin,rdd,19494
13,namecoin,nmc,0
14,vertcoin,vtc,20239
15,novacoin,nvc,0
16,blackcoin,blk,19319
17,feathercoin,ftc,18740
18,digibyte,digibyte,2610
19,batcoin,batcoin,0
20,hotcoin,hotcoin,0
21,siacoin,siacoin,1644
22,viacoin,viacoin,1886
23,syscoin,syscoin,3864
24,suncoin,suncoin,0
25,bitconnect,bitconnect,0
26,topcoin,topcoin,0
27,navajocoin,navajocoin,0
28,polcoin,polcoin,0
29,worldcoin,worldcoin,0
30,betacoin,betacoin,0
31,ghostcoin,ghostcoin,68
32,isracoin,isracoin,0
33,stealthcoin,stealthcoin,1025
34,socialcoin,socialcoin,0
35,einsteinium,einsteinium,1103
36,execoin,execoin,407
37,savecoin,savecoin,139
38,unobtanium,unobtanium,2230
39,vericoin,vericoin,2508
40,phoenixcoin,phoenixcoin,0
41,potcoin,potcoin,3979
42,whitecoin,whitecoin,1175
43,badgercoin,badgercoin,0
44,elacoin,elacoin,0
45,iconomi,iconomi,0
46,paycoin,paycoin,0
47,jackpotcoin,jackpotcoin,0
48,netcoin,netcoin,0
49,urocoin,urocoin,0
50,cloakcoin,cloakcoin,0
51,quebecoin,quebecoin,0
52,cornerstonecoin,cornerstonecoin,0
53,bitstar,bitstar,0
54,leafcoin,leafcoin,0
55,ybcoin,ybcoin,0
56,minerals,minerals,0
57,bitcoinscrypt,bitcoinscrypt,0
58,stories,stories,0
59,zetacoin,zetacoin,0
60,aircoin,aircoin,0
61,shadowcoin,shadowcoin,0
